listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
18372616,plus,490000,for_sale,370,1860,224.5,3/3/22,2022
18380564,basic,490000,for_sale,350,1840,449,3/4/22,2022
19315175,basic,495000,for_sale,700,2100,829,1/6/23,2023
19413275,plus,495000,for_sale,700,1800,414.5,1/5/23,2023
19433936,basic,495000,for_sale,700,2100,829,1/8/23,2023
19294935,basic,495000,for_sale,600,2000,829,1/9/23,2023
19488019,basic,495000,for_sale,600,1800,829,1/7/23,2023
19485278,premium,495000,for_sale,500,1800,304.5,1/5/23,2023
19489015,basic,495000,for_sale,500,1800,609,1/8/23,2023
18380856,plus,495000,for_sale,450,1940,399.5,3/4/22,2022
18378535,basic,495000,for_sale,430,1920,799,3/4/22,2022
18380854,plus,495000,for_sale,410,2600,399.5,3/4/22,2022
18075756,plus,495000,for_sale,410,1900,399.5,3/4/22,2022
18380732,plus,495000,for_sale,360,1850,224.5,3/4/22,2022
18381281,plus,495000,for_sale,350,2540,224.5,3/4/22,2022
18380872,basic,495000,for_sale,330,1820,449,3/4/22,2022
19416175,basic,500000,for_sale,500,1900,609,1/5/23,2023
18381168,basic,500000,for_sale,380,1870,449,3/4/22,2022
18373435,basic,500000,for_sale,350,1840,449,3/5/22,2022
18379017,basic,500000,for_sale,330,1820,449,3/5/22,2022
18373135,premium,520000,for_sale,330,1820,224.5,3/3/22,2022
19489295,basic,525000,for_sale,700,2100,1119,1/9/23,2023
19444435,basic,525000,for_sale,600,1900,609,1/6/23,2023
19484675,basic,525000,for_sale,600,2000,829,1/5/23,2023
18383115,basic,525000,for_sale,460,1950,799,3/6/22,2022
18382544,basic,525000,for_sale,460,1950,799,3/5/22,2022
18380398,basic,525000,for_sale,460,1950,799,3/4/22,2022
18371876,plus,525000,for_sale,450,2640,399.5,3/3/22,2022
18381303,basic,525000,for_sale,410,1900,799,3/4/22,2022
18382218,basic,525000,for_sale,350,1840,449,3/5/22,2022
19489156,basic,530000,for_sale,700,1700,609,1/9/23,2023
18381286,basic,535000,for_sale,350,1840,449,3/4/22,2022
18382439,basic,545000,for_sale,410,1900,799,3/5/22,2022
19485377,premium,550000,for_sale,700,1800,559.5,1/5/23,2023
18084050,premium,550000,for_sale,510,2700,499.5,3/4/22,2022
19487238,basic,550000,for_sale,500,1600,609,1/6/23,2023
18380422,basic,550000,for_sale,350,1840,449,3/4/22,2022
18381424,basic,550000,for_sale,330,1820,449,3/4/22,2022
18380618,basic,550000,for_sale,330,1820,449,3/4/22,2022
